Entry number,Entry ID,Source,Street field,Authoritative locality field(s),Lookup street,Lookup locality,Lookup key,Duplicate lookup reused,Review category,Status,Hydrants pill,Query attempted,Matched official address,Method used,Score,Latitude,Longitude,Manual override,Notes / unresolved reason,Fallback address when grey
296,BLACKWOOD MAIN-207,BLACKWOOD MAIN,HILLRIDGE DRIVE,BELAIR,HILLRIDGE DRIVE,BELAIR,HILLRIDGE DRIVE|BELAIR,No,Accepted,Accepted,Active,"1 HILLRIDGE DRIVE, BELAIR SA","1 HILLRIDGE DRIVE, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-35.004814369988416,138.62893435041627,No,,
297,CORO STREETS-45,CORO STREETS,HILLSDALE AVENUE,COROMANDEL VALLEY,HILLSDALE AVENUE,COROMANDEL VALLEY,HILLSDALE AVENUE|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"2 HILLSDALE AVENUE, COROMANDEL VALLEY SA","2 HILLSDALE AVENUE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 2,100,-35.04545118221303,138.62275954444382,No,,
298,CORO STREETS-46,CORO STREETS,HILLSDALE COURT,COROMANDEL VALLEY,HILLSDALE COURT,COROMANDEL VALLEY,HILLSDALE COURT|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"2 HILLSDALE COURT, COROMANDEL VALLEY SA","2 HILLSDALE COURT, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 2,100,-35.04670137051605,138.6232238289445,No,,
299,BLACKWOOD MAIN-208,BLACKWOOD MAIN,HILLSIDE ROAD,BLACKWOOD,HILLSIDE ROAD,BLACKWOOD,HILLSIDE ROAD|BLACKWOOD,No,Accepted,Accepted,Active,"1 HILLSIDE ROAD, BLACKWOOD SA","1 HILLSIDE ROAD, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 1,100,-35.0286286071381,138.62484989201764,No,,
300,BLACKWOOD MAIN-209,BLACKWOOD MAIN,HILLSIDE ROAD,SPRINGFIELD,HILLSIDE ROAD,SPRINGFIELD,HILLSIDE ROAD|SPRINGFIELD,No,Accepted,Accepted,Active,"1 HILLSIDE ROAD, SPRINGFIELD SA","1 HILLSIDE ROAD, SPRINGFIELD, SOUTH AUSTRALIA, 5062",No. 1,100,-34.97475185962544,138.63646999027006,No,,
301,CORO STREETS-47,CORO STREETS,HILLTOP COURT,COROMANDEL VALLEY,HILLTOP COURT,COROMANDEL VALLEY,HILLTOP COURT|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"1 HILLTOP COURT, COROMANDEL VALLEY SA","1 HILLTOP COURT, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.05134332608903,138.61726782371377,No,,
303,BLACKWOOD MAIN-211,BLACKWOOD MAIN,HILLVIEW AVENUE,PANORAMA,HILLVIEW AVENUE,PANORAMA,HILLVIEW AVENUE|PANORAMA,No,Accepted,Accepted,Active,"1 HILLVIEW AVENUE, PANORAMA SA","1 HILLVIEW AVENUE, PANORAMA, SOUTH AUSTRALIA, 5041",No. 1,100,-34.99741712605101,138.6017087784503,No,,
304,BLACKWOOD MAIN-212,BLACKWOOD MAIN,HOGARTH ROAD,PANORAMA,HOGARTH ROAD,PANORAMA,HOGARTH ROAD|PANORAMA,No,Accepted,Accepted,Active,"1 HOGARTH ROAD, PANORAMA SA","1 HOGARTH ROAD, PANORAMA, SOUTH AUSTRALIA, 5041",No. 1,100,-35.00204591800212,138.59922672418278,No,,
306,BLACKWOOD MAIN-213,BLACKWOOD MAIN,HOLLYWOOD WAY,GLENALTA,HOLLYWOOD WAY,GLENALTA,HOLLYWOOD WAY|GLENALTA,No,Accepted,Accepted,Active,"1 HOLLYWOOD WAY, GLENALTA SA","1 HOLLYWOOD WAY, GLENALTA, SOUTH AUSTRALIA, 5052",No. 1,100,-35.006603911014054,138.63072958381895,No,,
307,BLACKWOOD MAIN-214,BLACKWOOD MAIN,HORSELL ROAD,BELAIR,HORSELL ROAD,BELAIR,HORSELL ROAD|BELAIR,No,Accepted,Accepted,Active,"1 HORSELL ROAD, BELAIR SA","1 HORSELL ROAD, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-34.995440626017626,138.64034187396433,No,,
308,BLACKWOOD MAIN-215,BLACKWOOD MAIN,HOVEA STREET,BLACKWOOD,HOVEA STREET,BLACKWOOD,HOVEA STREET|BLACKWOOD,No,Accepted,Accepted,Active,"1 HOVEA STREET, BLACKWOOD SA","1 HOVEA STREET, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 1,100,-35.02600068570949,138.61184654614934,No,,
309,BLACKWOOD MAIN-216,BLACKWOOD MAIN,HOWARD STREET,BLACKWOOD,HOWARD STREET,BLACKWOOD,HOWARD STREET|BLACKWOOD,No,Accepted,Accepted,Active,"1 HOWARD STREET, BLACKWOOD SA","1 HOWARD STREET, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 1,100,-35.031255283359236,138.60898132375368,No,,
310,BLACKWOOD PARK-35,BLACKWOOD PARK,HUGHES COURT,CRAIGBURN FARM,HUGHES COURT,CRAIGBURN FARM,HUGHES COURT|CRAIGBURN FARM,No,Accepted,Accepted,Active,"2 HUGHES COURT, CRAIGBURN FARM SA","2 HUGHES COURT, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",No. 2,100,-35.03358791272993,138.61498197856668,No,,
312,CORO STREETS-48,CORO STREETS,HURDS HILL DRIVE,COROMANDEL VALLEY,HURDS HILL DRIVE,COROMANDEL VALLEY,HURDS HILL DRIVE|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"1 HURDS HILL DRIVE, COROMANDEL VALLEY SA","1 HURDS HILL DRIVE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.04971993131767,138.6212884207577,No,,
313,BLACKWOOD MAIN-218,BLACKWOOD MAIN,JACARANDA DRIVE,COROMANDEL VALLEY,JACARANDA DRIVE,COROMANDEL VALLEY,JACARANDA DRIVE|COROMANDEL VALLEY,Yes,Accepted,Accepted,Active,"1 JACARANDA DRIVE, COROMANDEL VALLEY SA","1 JACARANDA DRIVE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.03901541633167,138.62189145694828,No,,
314,CORO STREETS-49,CORO STREETS,JACARANDA DRIVE,COROMANDEL VALLEY,JACARANDA DRIVE,COROMANDEL VALLEY,JACARANDA DRIVE|COROMANDEL VALLEY,Yes,Accepted,Accepted,Active,"1 JACARANDA DRIVE, COROMANDEL VALLEY SA","1 JACARANDA DRIVE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.03901541633167,138.62189145694828,No,,
315,BLACKWOOD MAIN-219,BLACKWOOD MAIN,JACKSON AVENUE,COROMANDEL VALLEY,JACKSON AVENUE,COROMANDEL VALLEY,JACKSON AVENUE|COROMANDEL VALLEY,Yes,Accepted,Accepted,Active,"1 JACKSON AVENUE, COROMANDEL VALLEY SA","1 JACKSON AVENUE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.03844742383715,138.62034401983274,No,,
